22:05:29.024 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.521 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.523 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.524 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.526 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.527 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.528 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.530 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.532 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.533 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.534 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.537 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Client
22:05:29.541 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Client
22:05:29.542 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Client
22:05:29.542 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Client
22:05:29.543 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Client
22:05:29.544 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Client
22:05:29.545 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Client
22:05:29.545 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Client
22:05:29.546 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Client
22:05:29.547 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Client
22:05:29.562 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Client
22:05:29.673 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Status
22:05:29.676 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Status
22:05:29.677 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Status
22:05:29.678 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Status
22:05:29.679 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Status
22:05:29.680 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Status
22:05:29.681 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Status
22:05:29.682 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Status
22:05:29.683 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Status
22:05:29.683 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Status
22:05:29.694 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Status
22:05:29.723 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.District
22:05:29.780 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.District
22:05:29.781 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.District
22:05:29.782 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.District
22:05:29.783 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.District
22:05:29.784 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.District
22:05:29.785 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.District
22:05:29.786 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.District
22:05:29.788 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.District
22:05:29.789 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.District
22:05:29.790 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.District
22:05:29.790 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Street
22:05:29.812 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Street
22:05:29.813 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Street
22:05:29.814 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Street
22:05:29.815 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Street
22:05:29.815 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Street
22:05:29.815 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Street
22:05:29.816 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Street
22:05:29.817 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Street
22:05:29.818 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Street
22:05:29.824 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Street
22:05:29.884 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.885 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.886 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.887 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.887 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.888 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.889 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.889 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.890 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.890 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.897 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.Discount
22:05:29.950 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.ApplicationUser
22:05:29.973 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.ApplicationUser
22:05:29.973 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.ApplicationUser
22:05:29.974 [main] INFO  com.orion10110.training.managertaxi.services.impl.GenericServiceImpl - Create. id=null, title=class com.orion10110.taximanager.datamodel.ApplicationUser
